Year,Week_Number,mean_return,volatility
2020,00,-0.084,0.11879393923934
2020,01,-0.1612,1.5847724442329254
2020,02,-0.34559999999999996,1.269722725637373
2020,03,-0.055249999999999966,2.818341163994641
2020,04,-0.2888,1.510423847799021
2020,05,1.1574,2.366445710342834
2020,06,0.34659999999999996,1.297101692235424
2020,07,-0.74875,0.693635050536904
2020,08,-3.5718000000000005,2.387891685148219
2020,09,-0.8468,4.943897066080563
2020,10,-7.610600000000001,12.734710726985517
2020,11,-10.5712,9.662797974706912
2020,12,11.969,13.514722768151776
2020,13,-5.0194,5.012381649475627
2020,14,5.4405,10.159503022622056
2020,15,0.5887999999999998,8.935466926803546
2020,16,-3.4244,3.8157732243937135
2020,17,0.7390000000000001,4.104793234743987
2020,18,0.08599999999999977,4.362997421498207
2020,19,-2.089,1.707421594100297
2020,20,2.9170000000000003,6.340117033620121
2020,21,1.524,3.470538959105151
2020,22,7.1823999999999995,4.964340268353893
2020,23,-0.9730000000000001,12.441328023969147
2020,24,-0.23660000000000006,2.627059820407598
2020,25,-1.8603999999999998,2.6330315797574477
2020,26,1.8227499999999999,8.753435644553132
2020,27,-0.2009999999999999,3.933327153949948
2020,28,-0.25859999999999994,3.7031964301127753
2020,29,-0.20519999999999997,1.7545859055629052
2020,30,-1.877,1.2863387967405788
2020,31,1.5097999999999998,2.873980288728508
2020,32,0.9663999999999998,3.0254923235731406
2020,33,-1.2104,1.3439009636130186
2020,34,1.016,3.3684263388116413
2020,35,-0.5264,2.227271379962487
2020,36,-1.5815,3.1778752335483533
2020,37,0.1451999999999999,2.820096576360462
2020,38,-0.5658,4.426296951177135
2020,39,1.5333999999999999,2.978282525214826
2020,40,-0.023399999999999997,4.010301896366407
2020,41,0.016800000000000016,1.8783097987286335
2020,42,0.01660000000000008,1.9521857749712246
2020,43,-2.8962,1.8177516882126667
2020,44,1.8028,2.16025709118151
2020,45,3.668,7.125767993697242
2020,46,1.3923999999999999,4.7885491330882255
2020,47,2.08575,3.132536392446223
2020,48,1.5156000000000003,3.9340878612456023
2020,49,-0.192,1.8374750338439976
2020,50,-0.9324,0.9367621362971498
2020,51,-0.2955,0.6477332269795438
2020,52,-0.35625,0.6391725771130465
2021,01,-0.3424000000000001,3.5092005214863398
2021,02,-0.5269999999999999,1.6234163052033204
2021,03,0.20249999999999993,2.157334389163318
2021,04,-1.1420000000000001,2.014080683587428
2021,05,1.3888,1.75181668561525
2021,06,0.2996,1.4245154614815525
2021,07,0.8050000000000002,3.459091884681103
2021,08,-0.4042,5.134681265667812
2021,09,1.0728000000000002,3.0751071851237963
2021,10,3.8446,2.7177208833874014
2021,11,-0.9824000000000002,2.7958900729463596
2021,12,-0.843,2.6485804688549677
2021,13,0.8215,1.2396143217415112
2021,14,-0.035800000000000054,1.7283136868057256
2021,15,-0.32880000000000004,1.0873969836264952
2021,16,-0.7816000000000001,2.2768869756753407
2021,17,-0.3334,1.5931246969399477
2021,18,0.11139999999999999,1.7704483330501348
2021,19,-0.5791999999999999,2.3771645294341743
2021,20,0.562,1.7598930365223906
2021,21,1.033,1.936750112946944
2021,22,0.3092500000000001,2.1449808662705285
2021,23,-0.20739999999999997,1.076884534200394
2021,24,-0.8134,0.8606098419144415
2021,25,0.9286000000000001,2.0159664679751
2021,26,-0.9458,1.8909971443659033
2021,27,0.31750000000000006,1.7426383254517657
2021,28,-1.8854,1.4828109454680996
2021,29,0.3994000000000001,3.6903282780804205
2021,30,0.47140000000000004,2.630181609699224
2021,31,0.4305999999999999,1.198837478559959
2021,32,0.27640000000000003,1.34930548801967
2021,33,-1.9242000000000001,1.3800006159418916
2021,34,0.857,2.080408133035439
2021,35,-0.31820000000000004,1.3227182995634408
2021,36,-0.9065,1.4258072567262847
2021,37,0.2966,1.3308404487390664
2021,38,0.7620000000000001,2.2757524030526692
2021,39,0.4436,2.7685508483681494
2021,40,0.036000000000000004,0.619251160677152
2021,41,-0.8374,0.8089847340957678
2021,42,-0.37720000000000004,0.3999964999846874
2021,43,-0.5608,0.9132831981373576
2021,44,1.6582000000000001,2.6998749415482193
2021,45,-0.3112,0.8095679094430559
2021,46,-0.5539999999999999,4.240474206972611
2021,47,-1.7617500000000001,2.6683911975820442
2021,48,0.01060000000000012,4.599258396741805
2021,49,0.6721999999999999,2.174633003520364
2021,50,-1.2288000000000001,1.8637539268905645
2021,51,1.51125,3.2946885917589643
2021,52,-0.2814,1.0141586660873139
2022,01,1.3838,1.8226818702121335
2022,02,0.9764000000000002,2.441405087239723
2022,03,-2.34,1.7465548946425933
2022,04,-1.4727999999999999,2.1399139468679573
2022,05,1.6418,2.696435925439357
2022,06,0.5782,2.1047571593891776
2022,07,-0.28539999999999993,2.497174263042129
2022,08,-0.8825000000000001,2.937770753479583
2022,09,-2.0892,3.4772344902235166
2022,10,-0.45660000000000006,3.777155914176697
2022,11,1.8338,2.089954951667619
2022,12,-0.3761999999999999,2.7075750589780516
2022,13,0.2031999999999999,1.767067259614076
2022,14,-1.6740000000000002,1.814876304324898
2022,15,0.9615,1.9194618169337638
2022,16,-0.5382,2.248539904026611
2022,17,-3.3576,3.0940880401177986
2022,18,0.04239999999999999,2.9284787518436937
2022,19,-2.9902,5.156503485890415
2022,20,-0.9492,4.873120273500337
2022,21,1.8847999999999998,3.2845145303377787
2022,22,1.3625,4.1200089401197495
2022,23,-1.795,2.696010385736672
2022,24,1.6877999999999997,6.865647362048243
2022,25,0.8949999999999999,3.3734746676584564
2022,26,-0.22940000000000005,1.6186200295313289
