Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,BA,BA,BA,BA,BA,,,
2020-02-10,2020,2,10,Monday,06,2020-06,335.23,343.89,334.33,342.63,5876400,0.02351896555496391,321.86642857142857,325.0870370370371
2020-02-11,2020,2,11,Tuesday,06,2020-06,345.58,346.01,340.08,342.38,5311500,-0.000725371654998086,324.38142857142856,325.70464285714286
2020-02-12,2020,2,12,Wednesday,06,2020-06,344.37,347.88,343.8,345.4,4421500,0.00879741557422431,326.48785714285714,326.3837931034483
2020-02-13,2020,2,13,Thursday,06,2020-06,344.32,347.89,342.63,342.82,3783100,-0.007455267335718663,328.03642857142853,326.9316666666667
2020-02-14,2020,2,14,Friday,06,2020-06,342.3,344.5,338.0,340.49,4199800,-0.0067966193339473735,329.8764285714286,327.3690322580645
2020-02-18,2020,2,18,Tuesday,07,2020-07,338.77,339.99,336.1,338.88,2904600,-0.004728436658165136,331.60428571428565,327.72875
2020-02-19,2020,2,19,Wednesday,07,2020-07,338.12,341.47,335.86,338.3,4935700,-0.0017115707078803055,332.9028571428571,328.0490909090909
2020-02-20,2020,2,20,Thursday,07,2020-07,338.29,341.24,335.39,336.28,2807500,-0.005970999369080854,333.9664285714286,328.2911764705882
2020-02-21,2020,2,21,Friday,07,2020-07,334.05,334.66,330.23,330.38,3709900,-0.01754488497056461,334.9657142857142,328.35085714285714
2020-02-24,2020,2,24,Monday,08,2020-08,320.0,321.74,316.33,317.9,6073200,-0.037774716392884766,335.235,328.06055555555554
2020-02-25,2020,2,25,Tuesday,08,2020-08,318.26,320.64,303.63,304.14,8052500,-0.043283987141338076,334.38357142857143,327.414054054054
2020-02-26,2020,2,26,Wednesday,08,2020-08,307.0,315.22,304.06,305.59,6987300,0.004767480829936721,332.81142857142856,326.83973684210525
2020-02-27,2020,2,27,Thursday,08,2020-08,300.37,301.0,284.29,287.76,10982400,-0.05834610682920072,329.1221428571429,325.8376923076923
