Close,High,Low,Open,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility,label
331.3485718,331.3783931,325.7618164,326.6067647,4544400,0,1/2/20,0,2020,2,Thursday,-0.084,0.118793939,green
330.7919006,332.9093076,328.3464285,328.6744937,3875900,-0.168,1/3/20,0,2020,3,Friday,-0.084,0.118793939,green
331.7660828,332.8794537,325.9407563,327.3523407,5355000,0.294,1/6/20,1,2020,6,Monday,-0.1612,1.584772444,green
335.2851563,342.1542907,328.7540072,332.283029,9898600,1.061,1/7/20,1,2020,7,Tuesday,-0.1612,1.584772444,green
329.4100952,332.0543662,327.6505749,330.434002,8239200,-1.752,1/8/20,1,2020,8,Wednesday,-0.1612,1.584772444,green
334.350708,339.7088433,330.0860728,332.968945,8175600,1.5,1/9/20,1,2020,9,Thursday,-0.1612,1.584772444,green
327.968689,335.7026726,327.5014676,333.5753152,7161700,-1.909,1/10/20,1,2020,10,Friday,-0.1612,1.584772444,green
328.2669067,332.1239632,328.1277202,330.4340058,5648500,0.091,1/13/20,2,2020,13,Monday,-0.3456,1.269722726,green
330.3843079,333.3665642,326.3383728,328.8037156,6945300,0.645,1/14/20,2,2020,14,Tuesday,-0.3456,1.269722726,green
327.8493958,331.1398164,327.7400609,330.3843321,4578300,-0.767,1/15/20,2,2020,15,Wednesday,-0.3456,1.269722726,green
330.036377,330.9012265,327.3622846,329.0919836,4024100,0.667,1/16/20,2,2020,16,Thursday,-0.3456,1.269722726,green
322.2328186,330.5334388,321.0896263,330.424104,11061700,-2.364,1/17/20,2,2020,17,Friday,-0.3456,1.269722726,green
311.516571,324.6683332,303.9416443,320.6919912,19318000,-3.326,1/21/20,3,2020,21,Tuesday,-0.05525,2.818341164,green
307.1724243,310.9897091,300.9295685,307.9875817,18792600,-1.395,1/22/20,3,2020,22,Wednesday,-0.05525,2.818341164,green
315.9104309,316.2881882,305.8801121,306.6753684,9702100,2.845,1/23/20,3,2020,23,Thursday,-0.05525,2.818341164,green
321.1393127,324.2707064,310.6616733,320.0955351,17798200,1.655,1/24/20,3,2020,24,Friday,-0.05525,2.818341164,green
314.727478,319.3599201,312.7194059,314.3397701,7468100,-1.997,1/27/20,4,2020,27,Monday,-0.2888,1.510423848,green
314.6877136,317.471141,312.1428571,316.1688914,5502200,-0.013,1/28/20,4,2020,28,Tuesday,-0.2888,1.510423848,green
320.115387,325.2448715,317.2524463,322.4316231,12454700,1.725,1/29/20,4,2020,29,Wednesday,-0.2888,1.510423848,green
321.3878174,323.4257108,315.7613204,318.6043902,6022000,0.397,1/30/20,4,2020,30,Thursday,-0.2888,1.510423848,green
316.3875732,320.0259297,315.115145,319.8470016,4999600,-1.556,1/31/20,4,2020,31,Friday,-0.2888,1.510423848,green
314.131012,318.8429674,313.0176411,316.864747,4841800,-0.713,2/3/20,5,2020,3,Monday,1.1574,2.36644571,green
316.0595398,317.5904399,313.1667474,316.3975252,3779800,0.614,2/4/20,5,2020,4,Tuesday,1.1574,2.36644571,green
327.6008606,327.7300966,317.3419214,318.6043991,6071800,3.652,2/5/20,5,2020,5,Wednesday,1.1574,2.36644571,green
339.410614,341.4087356,323.7338962,328.9528452,12845500,3.605,2/6/20,5,2020,6,Thursday,1.1574,2.36644571,green
334.7583008,338.7246923,333.7045726,338.3568855,5337800,-1.371,2/7/20,5,2020,7,Friday,1.1574,2.36644571,green
342.6314697,343.8939474,334.3308496,335.2255205,5876400,2.352,2/10/20,6,2020,10,Monday,0.3466,1.297101692,green
342.3829346,346.0113405,340.076649,345.583891,5311500,-0.073,2/11/20,6,2020,11,Tuesday,0.3466,1.297101692,green
345.3950195,347.8802333,343.8044767,344.3711127,4421500,0.88,2/12/20,6,2020,12,Wednesday,0.3466,1.297101692,green
342.8200073,347.8900146,342.6300049,344.3200073,3783100,-0.746,2/13/20,6,2020,13,Thursday,0.3466,1.297101692,green
340.4899902,344.5,338,342.2999878,4199800,-0.68,2/14/20,6,2020,14,Friday,0.3466,1.297101692,green
338.8800049,339.9899902,336.1000061,338.769989,2904600,-0.473,2/18/20,7,2020,18,Tuesday,-0.74875,0.693635051,green
338.2999878,341.4700012,335.8599854,338.1199951,4935700,-0.171,2/19/20,7,2020,19,Wednesday,-0.74875,0.693635051,green
336.2799988,341.2399902,335.3900146,338.2900085,2807500,-0.597,2/20/20,7,2020,20,Thursday,-0.74875,0.693635051,green
330.3800049,334.6600037,330.230011,334.0499878,3709900,-1.754,2/21/20,7,2020,21,Friday,-0.74875,0.693635051,green
317.8999939,321.7399902,316.3299866,320,6073200,-3.777,2/24/20,8,2020,24,Monday,-3.5718,2.387891685,red
304.1400146,320.6400146,303.6300049,318.2600098,8052500,-4.328,2/25/20,8,2020,25,Tuesday,-3.5718,2.387891685,red
305.5899963,315.2200012,304.0599976,307,6987300,0.477,2/26/20,8,2020,26,Wednesday,-3.5718,2.387891685,red
287.7600098,301,284.2900085,300.3699951,10982400,-5.835,2/27/20,8,2020,27,Thursday,-3.5718,2.387891685,red
275.1099854,282.8599854,269.6000061,278.0700073,15364300,-4.396,2/28/20,8,2020,28,Friday,-3.5718,2.387891685,red
289.269989,291.7099915,274.2900085,279.5400085,11012300,5.147,3/2/20,9,2020,2,Monday,-0.8468,4.943897066,red
280.6199951,297.4400024,278.0799866,292,7499300,-2.99,3/3/20,9,2020,3,Tuesday,-0.8468,4.943897066,red
283.1199951,285.9100037,277.0100098,284.5499878,6986100,0.891,3/4/20,9,2020,4,Wednesday,-0.8468,4.943897066,red
260.3699951,276.3099976,259.6499939,275.7900085,14669100,-8.035,3/5/20,9,2020,5,Thursday,-0.8468,4.943897066,red
262.3299866,264.2900085,249.8000031,253.6999969,12861800,0.753,3/6/20,9,2020,6,Friday,-0.8468,4.943897066,red
227.1699982,241.4799957,224.3699951,238,11585500,-13.403,3/9/20,10,2020,9,Monday,-7.6106,12.73471073,red
231.0099945,237.8300018,215,237,13059600,1.69,3/10/20,10,2020,10,Tuesday,-7.6106,12.73471073,red
189.0800018,226.9900055,187,222.9900055,28503500,-18.151,3/11/20,10,2020,11,Wednesday,-7.6106,12.73471073,red
154.8399963,189.8500061,154.8099976,160.5299988,31734400,-18.109,3/12/20,10,2020,12,Thursday,-7.6106,12.73471073,red
170.1999969,178.2799988,161.3800049,174.9700012,21168500,9.92,3/13/20,10,2020,13,Friday,-7.6106,12.73471073,red
129.6100006,151,128.7599945,149.4199982,26844400,-23.848,3/16/20,11,2020,16,Monday,-10.5712,9.662797975,red
124.1399994,134.9600067,101.25,132.5099945,54492200,-4.22,3/17/20,11,2020,17,Tuesday,-10.5712,9.662797975,red
101.8899994,107.8499985,89,99.86000061,61943200,-17.923,3/18/20,11,2020,18,Wednesday,-10.5712,9.662797975,red
97.70999908,103.5699997,90.34999847,98.80000305,40210600,-4.102,3/19/20,11,2020,19,Thursday,-10.5712,9.662797975,red
95.01000214,107,94.27999878,99.84999847,41370700,-2.763,3/20/20,11,2020,20,Friday,-10.5712,9.662797975,red
105.6200027,114.4899979,93.55999756,98.75,46140100,11.167,3/23/20,12,2020,23,Monday,11.969,13.51472277,green
127.6800003,127.9599991,116.1299973,123.6800003,43683100,20.886,3/24/20,12,2020,24,Tuesday,11.969,13.51472277,green
158.7299957,174.7700043,141,154.8999939,77826000,24.319,3/25/20,12,2020,25,Wednesday,11.969,13.51472277,green
180.5500031,186.4799957,167.1799927,172.2899933,63267300,13.747,3/26/20,12,2020,26,Thursday,11.969,13.51472277,green
162,172.9199982,155.5399933,172,47880200,-10.274,3/27/20,12,2020,27,Friday,11.969,13.51472277,green
152.2799988,153.8099976,140.6799927,153.8099976,51052500,-6,3/30/20,13,2020,30,Monday,-5.0194,5.012381649,red
149.1399994,160.6399994,149,155,29954000,-2.062,3/31/20,13,2020,31,Tuesday,-5.0194,5.012381649,red
130.6999969,144.3800049,130,138.9100037,41899700,-12.364,4/1/20,13,2020,1,Wednesday,-5.0194,5.012381649,red
123.2699966,136.6799927,120.0199966,128.5099945,42372400,-5.685,4/2/20,13,2020,2,Thursday,-5.0194,5.012381649,red
124.5199966,131.2899933,122.5,125,37347400,1.014,4/3/20,13,2020,3,Friday,-5.0194,5.012381649,red
148.7700043,149.6900024,129.2100067,133.6999969,51085500,19.475,4/6/20,14,2020,6,Monday,5.4405,10.15950302,green
141.5800018,164.8000031,140.2599945,162,56699100,-4.833,4/7/20,14,2020,7,Tuesday,5.4405,10.15950302,green
146.8699951,154,144.5500031,147.5099945,41351000,3.736,4/8/20,14,2020,8,Wednesday,5.4405,10.15950302,green
151.8399963,157.9799957,150.0899963,154.7100067,37874200,3.384,4/9/20,14,2020,9,Thursday,5.4405,10.15950302,green
147.3300018,156,146.2599945,155.5,26034100,-2.97,4/13/20,15,2020,13,Monday,0.5888,8.935466927,green
141,152.3999939,140,150.5099945,33970500,-4.296,4/14/20,15,2020,14,Tuesday,0.5888,8.935466927,green
145.9799957,148.6900024,132.8999939,139,39297600,3.532,4/15/20,15,2020,15,Wednesday,0.5888,8.935466927,green
134.2400055,143.2400055,134,141.4600067,41364800,-8.042,4/16/20,15,2020,16,Thursday,0.5888,8.935466927,green
154,154,145,149.4100037,52389400,14.72,4/17/20,15,2020,17,Friday,0.5888,8.935466927,green
143.6100006,151.6300049,142.5,147.2100067,34983800,-6.747,4/20/20,16,2020,20,Monday,-3.4244,3.815773224,red
136.3300018,141.8999939,135.4499969,139.0099945,27043800,-5.069,4/21/20,16,2020,21,Tuesday,-3.4244,3.815773224,red
134.9700012,140.8200073,134.5200043,140.4199982,22734500,-0.998,4/22/20,16,2020,22,Wednesday,-3.4244,3.815773224,red
137.7400055,142.3800049,136.0500031,136.5,25936400,2.052,4/23/20,16,2020,23,Thursday,-3.4244,3.815773224,red
128.9799957,137.5700073,128.3300018,137,35884700,-6.36,4/24/20,16,2020,24,Friday,-3.4244,3.815773224,red
128.6799927,131.1999969,123.8300018,129.9700012,34563000,-0.233,4/27/20,17,2020,27,Monday,0.739,4.104793235,green
