Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,,,
2020-03-02,2020,3,2,Monday,09,2020-09,274.84,284.93,271.38,284.86,238703600,0.0433063099443709,299.0164285714286,301.1136585365854
2020-03-03,2020,3,3,Tuesday,09,2020-09,285.24,289.24,274.25,276.71,300139100,-0.0286322634556051,296.7114285714286,300.53261904761905
2020-03-04,2020,3,4,Wednesday,09,2020-09,282.13,288.56,279.55,288.34,176613400,0.04203290234456647,295.09499999999997,300.2490697674418
2020-03-05,2020,3,5,Thursday,09,2020-09,281.08,284.29,276.49,278.75,186366800,-0.03324180671283883,292.8171428571428,299.76045454545454
2020-03-06,2020,3,6,Friday,09,2020-09,270.17,275.36,267.48,274.14,228667200,-0.01653099305290373,290.1742857142857,299.1911111111111
2020-03-09,2020,3,9,Monday,10,2020-10,253.72,261.92,252.02,252.74,309417300,-0.07809440288343361,286.06,298.1813043478261
2020-03-10,2020,3,10,Tuesday,10,2020-10,262.33,265.91,252.06,265.81,276444100,0.05174468399567567,282.7735714285714,297.4925531914894
2020-03-11,2020,3,11,Wednesday,10,2020-10,258.7,259.84,249.65,252.86,255316300,-0.04874845209751266,278.6535714285714,296.5627083333333
2020-03-12,2020,3,12,Thursday,10,2020-10,235.93,245.76,228.27,228.66,392220700,-0.09567722376013754,273.03357142857146,295.1769387755102
2020-03-13,2020,3,13,Friday,10,2020-10,242.47,250.2,229.04,248.21,329566100,0.08548663178041016,269.53785714285715,294.2376
2020-03-16,2020,3,16,Monday,11,2020-11,222.28,236.76,218.76,221.05,297240000,-0.10942386316705643,264.7457142857143,292.67040000000003
2020-03-17,2020,3,17,Tuesday,11,2020-11,225.83,236.09,218.49,232.99,262070500,0.053991928352775664,260.88214285714287,291.3874
2020-03-18,2020,3,18,Wednesday,11,2020-11,217.73,228.9,210.15,221.19,327597100,-0.05063289978614083,257.0964285714286,289.8458
2020-03-19,2020,3,19,Thursday,11,2020-11,220.5,227.99,214.02,221.66,289322000,0.0021250269733004146,253.4264285714286,288.3304
2020-03-20,2020,3,20,Friday,11,2020-11,224.83,226.63,211.83,212.11,347158800,-0.04309412650706079,248.23000000000002,286.5922
2020-03-23,2020,3,23,Monday,12,2020-12,211.54,212.92,202.34,206.68,326025200,-0.02556816219837288,243.22785714285715,284.7048
2020-03-24,2020,3,24,Tuesday,12,2020-12,217.32,226.29,216.74,225.41,235494500,0.09060334679567172,238.7328571428571,283.20939999999996
2020-03-25,2020,3,25,Wednesday,12,2020-12,227.0,237.65,222.26,228.78,299430300,0.014969908481573979,235.16357142857143,281.7402
