Date,Price,Open,High,Low,Vol.,Change %,T+,range,TR
2019-01-25 00:00:00,3572.0,"3,574.30",3582.6,3542.2,448.89K,-0.06,False,40.40000000000009,40.40000000000009
2019-01-26 00:00:00,3570.9,"3,572.00",3652.5,3556.1,432.55K,-0.03,False,96.40000000000009,96.40000000000009
2019-01-27 00:00:00,3555.6,"3,570.90",3583.2,3509.2,464.02K,-0.43,False,74.0,74.0
2019-01-28 00:00:00,3442.8,"3,555.80",3561.2,3395.7,620.85K,-3.17,False,165.5,165.5
2019-01-29 00:00:00,3414.8,"3,442.80",3450.1,3368.2,585.46K,-0.81,False,81.90000000000009,81.90000000000009
2019-01-30 00:00:00,3460.0,"3,414.60",3479.0,3394.2,600.25K,1.32,True,84.80000000000018,84.80000000000018
2019-01-31 00:00:00,3437.2,"3,460.00",3484.7,3427.0,477.07K,-0.66,False,57.69999999999982,57.69999999999982
2019-02-01 00:00:00,3467.9,"3,437.70",3485.7,3415.3,481.58K,0.9,True,70.39999999999964,70.39999999999964
2019-02-02 00:00:00,3502.5,"3,467.90",3514.5,3447.8,443.60K,1.0,True,66.69999999999982,66.69999999999982
2019-02-03 00:00:00,3459.1,"3,502.30",3507.8,3431.3,451.66K,-1.24,False,76.5,76.5
2019-02-04 00:00:00,3462.8,"3,459.00",3479.7,3437.1,503.92K,0.11,True,42.59999999999991,42.59999999999991
2019-02-05 00:00:00,3468.4,"3,463.00",3485.9,3450.3,460.95K,0.16,True,35.59999999999991,35.59999999999991
2019-02-06 00:00:00,3404.3,"3,468.50",3478.0,3383.9,514.21K,-1.85,False,94.09999999999991,94.09999999999991
2019-02-07 00:00:00,3397.7,"3,404.90",3421.8,3390.3,471.36K,-0.2,False,31.5,31.5
2019-02-08 00:00:00,3661.7,"3,397.30",3721.1,3382.5,699.23K,7.77,True,338.5999999999999,338.5999999999999
2019-02-09 00:00:00,3661.4,"3,661.60",3675.3,3633.2,454.80K,-0.01,False,42.100000000000364,42.100000000000364
2019-02-10 00:00:00,3679.0,"3,661.00",3680.6,3617.1,501.90K,0.48,True,63.5,63.5
2019-02-11 00:00:00,3631.8,"3,678.80",3681.1,3623.8,517.28K,-1.28,False,57.29999999999973,57.29999999999973
2019-02-12 00:00:00,3632.0,"3,631.80",3656.4,3594.4,545.82K,0.01,True,62.0,62.0
2019-02-13 00:00:00,3611.5,"3,632.00",3663.5,3599.2,558.02K,-0.56,False,64.30000000000018,64.30000000000018
2019-02-14 00:00:00,3592.6,"3,611.50",3624.5,3580.2,498.14K,-0.52,False,44.30000000000018,44.30000000000018
2019-02-15 00:00:00,3604.7,"3,592.60",3648.3,3581.4,516.21K,0.34,True,66.90000000000009,66.90000000000009
2019-02-16 00:00:00,3616.8,"3,604.70",3641.9,3599.7,485.63K,0.34,True,42.20000000000027,42.20000000000027
2019-02-17 00:00:00,3664.2,"3,616.80",3689.9,3607.9,580.51K,1.31,True,82.0,82.0
2019-02-18 00:00:00,3896.0,"3,664.20",3903.7,3655.1,933.15K,6.33,True,248.5999999999999,248.5999999999999
2019-02-19 00:00:00,3914.3,"3,896.40",3993.8,3863.7,1.44M,0.47,True,130.10000000000036,130.10000000000036
2019-02-20 00:00:00,3972.4,"3,914.30",3983.6,3881.2,698.01K,1.48,True,102.40000000000009,102.40000000000009
2019-02-21 00:00:00,3936.6,"3,972.00",4011.5,3909.2,668.16K,-0.9,False,102.30000000000018,102.30000000000018
2019-02-22 00:00:00,3965.2,"3,937.40",3983.1,3931.7,649.55K,0.73,True,51.40000000000009,51.40000000000009
2019-02-23 00:00:00,4120.4,"3,965.20",4152.6,3939.4,727.85K,3.91,True,213.20000000000027,213.20000000000027
2019-02-24 00:00:00,3755.2,"4,120.50",4194.2,3738.7,977.78K,-8.86,False,455.5,455.5
2019-02-25 00:00:00,3833.7,"3,755.70",3870.7,3753.8,765.87K,2.09,True,116.89999999999964,116.89999999999964
2019-02-26 00:00:00,3810.3,"3,833.50",3845.5,3775.0,2.09M,-0.61,False,70.5,70.5
2019-02-27 00:00:00,3814.6,"3,810.30",3836.4,3701.9,2.82M,0.11,True,134.5,134.5
2019-02-28 00:00:00,3816.6,"3,814.60",3883.7,3783.3,2.31M,0.05,True,100.39999999999964,100.39999999999964
2019-03-01 00:00:00,3821.9,"3,816.70",3855.8,3816.4,1.74M,0.14,True,39.40000000000009,39.40000000000009
2019-03-02 00:00:00,3823.1,"3,821.90",3843.2,3783.6,1.61M,0.03,True,59.59999999999991,59.59999999999991
2019-03-03 00:00:00,3809.5,"3,823.20",3836.6,3789.7,1.51M,-0.36,False,46.90000000000009,46.90000000000009
2019-03-04 00:00:00,3715.9,"3,809.70",3828.4,3681.8,2.85M,-2.45,False,146.5999999999999,146.5999999999999
2019-03-05 00:00:00,3857.2,"3,715.90",3873.2,3705.7,3.82M,3.8,True,167.5,167.5
2019-03-06 00:00:00,3863.0,"3,857.20",3887.3,3816.7,2.52M,0.15,True,70.60000000000036,70.60000000000036
2019-03-07 00:00:00,3875.1,"3,863.10",3907.4,3847.9,2.60M,0.32,True,59.5,59.5
2019-03-08 00:00:00,3865.9,"3,875.10",3929.0,3810.7,2.96M,-0.24,False,118.30000000000018,118.30000000000018
2019-03-09 00:00:00,3944.3,"3,865.60",3964.0,3859.7,2.48M,2.03,True,104.30000000000018,104.30000000000018
2019-03-10 00:00:00,3915.2,"3,944.40",3944.5,3889.2,1.89M,-0.74,False,55.30000000000018,55.30000000000018
2019-03-11 00:00:00,3870.3,"3,915.20",3935.5,3842.4,3.19M,-1.15,False,93.09999999999991,93.09999999999991
2019-03-12 00:00:00,3886.0,"3,870.30",3900.1,3817.1,2.90M,0.41,True,83.0,83.0
2019-03-13 00:00:00,3865.1,"3,885.90",3894.7,3847.4,2.28M,-0.54,False,47.29999999999973,47.29999999999973
2019-03-14 00:00:00,3879.0,"3,865.10",3914.7,3828.4,2.86M,0.36,True,86.29999999999973,86.29999999999973
2019-03-15 00:00:00,3924.3,"3,879.00",3935.7,3874.8,3.11M,1.17,True,60.899999999999636,60.899999999999636
2019-03-16 00:00:00,4006.4,"3,924.40",4050.6,3923.7,3.46M,2.09,True,126.90000000000009,126.90000000000009
2019-03-17 00:00:00,3981.5,"4,006.40",4009.8,3956.3,1.87M,-0.62,False,53.5,53.5
2019-03-18 00:00:00,3990.2,"3,981.50",4032.3,3958.5,2.62M,0.22,True,73.80000000000018,73.80000000000018
2019-03-19 00:00:00,4017.0,"3,990.20",4029.9,3972.4,2.99M,0.67,True,57.5,57.5
2019-03-20 00:00:00,4041.2,"4,017.00",4050.0,3985.3,3.18M,0.6,True,64.69999999999982,64.69999999999982
2019-03-21 00:00:00,3982.2,"4,041.20",4064.0,3923.8,3.88M,-1.46,False,140.19999999999982,140.19999999999982
2019-03-22 00:00:00,3990.4,"3,982.20",4005.7,3971.8,2.83M,0.21,True,33.899999999999636,33.899999999999636
2019-03-23 00:00:00,4002.5,"3,990.40",4018.2,3980.8,2.00M,0.3,True,37.399999999999636,37.399999999999636
2019-03-24 00:00:00,3994.7,"4,002.60",4005.7,3967.0,2.04M,-0.2,False,38.69999999999982,38.69999999999982
2019-03-25 00:00:00,3937.0,"3,994.80",4000.5,3897.9,2.86M,-1.44,False,102.59999999999991,102.59999999999991
2019-03-26 00:00:00,3942.8,"3,937.10",3950.7,3899.9,2.53M,0.15,True,50.79999999999973,50.79999999999973
