Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NKE,NKE,NKE,NKE,NKE,,,
2020-02-05,2020,2,5,Wednesday,05,2020-05,94.47,94.66,92.4,93.33,6108300,-0.008285706665555503,94.03857142857143,94.29208333333334
2020-02-06,2020,2,6,Thursday,05,2020-05,93.67,94.25,92.98,93.08,5641800,-0.0026854967237071037,93.83285714285714,94.2436
2020-02-07,2020,2,7,Friday,05,2020-05,92.66,93.2,91.88,92.31,4121800,-0.00827759990911947,93.495,94.16923076923078
2020-02-10,2020,2,10,Monday,06,2020-06,92.11,93.31,91.9,92.85,4213900,0.005832732627053749,93.19285714285715,94.12037037037037
2020-02-11,2020,2,11,Tuesday,06,2020-06,92.9,93.16,92.31,92.85,4871800,0.0,92.89642857142857,94.075
2020-02-12,2020,2,12,Wednesday,06,2020-06,93.52,95.69,93.24,95.62,8075600,0.029793873898746215,92.895,94.12827586206896
2020-02-13,2020,2,13,Thursday,06,2020-06,95.16,96.3,94.39,95.96,5386800,0.0035924083474283552,92.98357142857142,94.18933333333332
2020-02-14,2020,2,14,Friday,06,2020-06,96.11,96.44,95.11,96.12,4305300,0.001644320356728901,93.20214285714285,94.25161290322582
2020-02-18,2020,2,18,Tuesday,07,2020-07,95.62,95.97,94.33,94.69,4916200,-0.014873251412090172,93.30785714285715,94.2653125
2020-02-19,2020,2,19,Wednesday,07,2020-07,95.3,95.98,95.09,95.12,6200500,0.004509899250205951,93.48214285714286,94.29121212121213
2020-02-20,2020,2,20,Thursday,07,2020-07,95.12,95.27,93.34,95.18,6427600,0.0006829166170361223,93.77,94.31735294117647
2020-02-21,2020,2,21,Friday,07,2020-07,94.69,94.76,92.49,93.06,5750900,-0.022237195415157007,94.03142857142856,94.28142857142856
2020-02-24,2020,2,24,Monday,08,2020-08,88.69,90.11,88.42,89.04,8364200,-0.04329193981475632,93.80857142857144,94.13583333333332
2020-02-25,2020,2,25,Tuesday,08,2020-08,89.44,89.83,85.98,86.24,9602100,-0.03138356222839833,93.24642857142858,93.92243243243243
2020-02-26,2020,2,26,Wednesday,08,2020-08,86.41,87.87,85.4,85.41,9308400,-0.009687830860080515,92.68071428571429,93.69842105263157
2020-02-27,2020,2,27,Thursday,08,2020-08,83.55,86.39,82.16,82.2,12825700,-0.037499948634857394,91.90357142857144,93.40358974358973
2020-02-28,2020,2,28,Friday,08,2020-08,80.09,83.29,79.27,83.2,16552400,0.012173752762754342,91.25285714285714,93.1485
2020-03-02,2020,3,2,Monday,09,2020-09,83.41,86.7,81.84,86.28,14102000,0.03692082913027184,90.78357142857143,92.98097560975609
2020-03-03,2020,3,3,Tuesday,09,2020-09,86.33,88.42,84.31,84.65,14767600,-0.018881998233170272,90.19785714285716,92.78261904761905
2020-03-04,2020,3,4,Wednesday,09,2020-09,85.72,87.34,84.56,87.31,6904400,0.03145283876820493,89.60428571428572,92.6553488372093
2020-03-05,2020,3,5,Thursday,09,2020-09,84.95,85.35,83.73,84.32,8851100,-0.034225604539738885,88.77285714285713,92.4659090909091
